signal_id,raw_name,stage,meaning,raw_unit,canonical_unit,conversion,mapping_status,controllable,evidence_ref
ht:2:Mg.Sulfur,ЛИМС:Гидроочистка.2:Mg.Sulfur,ht,Mg.Sulfur,мг/кг,mg/kg,none,confirmed,false,materials/ЛИМСы 01.01.2023 - н.в_ (2).xlsx#columns=95:96
ht:2:PourPoint,ЛИМС:Гидроочистка.2:PourPoint,ht,PourPoint,°С,degC,none,confirmed,false,materials/ЛИМСы 01.01.2023 - н.в_ (2).xlsx#columns=99:100
ht:vak:CFPP,ВАК:24-2000:GODT:CFPP,ht,24-2000:GODT:CFPP,,unknown,none,excluded,false,materials/Теги_хакатон.xlsx#ВАК:Unnamed: 5
ht:vak:CloudPoint,ВАК:24-2000:GODT:CloudPoint,ht,24-2000:GODT:CloudPoint,,unknown,none,excluded,false,materials/Теги_хакатон.xlsx#ВАК:Unnamed: 5
ht:vak:D15,ВАК:24-2000:GODT:D15,ht,24-2000:GODT:D15,,unknown,none,excluded,false,materials/Теги_хакатон.xlsx#ВАК:Unnamed: 5
ht:vak:I250,ВАК:24-2000:GODT:I250,ht,24-2000:GODT:I250,,unknown,none,excluded,false,materials/Теги_хакатон.xlsx#ВАК:Unnamed: 5
ht:vak:IBP,ВАК:24-2000:GODT:IBP,ht,24-2000:GODT:IBP,,unknown,none,excluded,false,materials/Теги_хакатон.xlsx#ВАК:Unnamed: 5
ht:vak:T50,ВАК:24-2000:GODT:T50,ht,24-2000:GODT:T50,,unknown,none,excluded,false,materials/Теги_хакатон.xlsx#ВАК:Unnamed: 5
ht:vak:T90,ВАК:24-2000:GODT:T90,ht,24-2000:GODT:T90,,unknown,none,excluded,false,materials/Теги_хакатон.xlsx#ВАК:Unnamed: 5
ht:vak:T95,ВАК:24-2000:GODT:T95,ht,24-2000:GODT:T95,,unknown,none,excluded,false,materials/Теги_хакатон.xlsx#ВАК:Unnamed: 5
avt:vak:CFPP,ВАК:AVT6:240-350:CFPP,avt,AVT6:240-350:CFPP,,unknown,none,excluded,false,materials/Теги_хакатон.xlsx#ВАК:Unnamed: 1
avt:vak:D15,ВАК:AVT6:240-350:D15,avt,AVT6:240-350:D15,,unknown,none,excluded,false,materials/Теги_хакатон.xlsx#ВАК:Unnamed: 1
avt:vak:EBP,ВАК:AVT6:240-350:EBP,avt,AVT6:240-350:EBP,,unknown,none,excluded,false,materials/Теги_хакатон.xlsx#ВАК:Unnamed: 1
avt:vak:T50,ВАК:AVT6:240-350:T50,avt,AVT6:240-350:T50,,unknown,none,excluded,false,materials/Теги_хакатон.xlsx#ВАК:Unnamed: 1
avt:vak:ViscosityK,ВАК:AVT6:350-500:ViscosityK,avt,AVT6:350-500:ViscosityK,,unknown,none,excluded,false,materials/Теги_хакатон.xlsx#ВАК:Unnamed: 3
avt:vak:CFPP,ВАК:AVT6:350:CFPP,avt,AVT6:350:CFPP,,unknown,none,excluded,false,materials/Теги_хакатон.xlsx#ВАК:Unnamed: 3
avt:vak:D15,ВАК:AVT6:350:D15,avt,AVT6:350:D15,,unknown,none,excluded,false,materials/Теги_хакатон.xlsx#ВАК:Unnamed: 3
avt:vak:I350,ВАК:AVT6:350:I350,avt,AVT6:350:I350,,unknown,none,excluded,false,materials/Теги_хакатон.xlsx#ВАК:Unnamed: 3
avt:vak:T50,ВАК:AVT6:350:T50,avt,AVT6:350:T50,,unknown,none,excluded,false,materials/Теги_хакатон.xlsx#ВАК:Unnamed: 3
